ring,allnestid,sex,year,TL1 ,D ,LRS ,max_age
1EP47410,1,F,2009,0.3455,0.5114,4,2
1EP48901,2,M,2009,0.2982,0.0329,18,2
1EP47424,3,F,2009,0.2858,0.0237,10,2
1EP46475,4,F,2010,0.2078,-0.0927,19,2
1EP46440,5,F,2010,-0.0396,0.0071,19,2
1EP47373,6,M,2010,0.0749,0.0442,22,2
1ER03700,7,F,2011,-0.0949,0.2019,21,2
1ER03613,8,F,2011,0.2983,-0.0389,16,2
1ER03324,9,F,2011,0.2913,-0.0307,19,2
1ER03322,10,F,2011,0.1238,-0.2084,21,2
1ER03665,11,M,2011,0.0468,-0.0596,24,2
1ER03658,12,M,2011,0.1825,0.1066,19,2
1ER03624,13,M,2011,0.2883,-0.1984,22,2
1ER03602,14,M,2011,0.3831,0.0179,17,2
1ER03600,15,M,2011,0.3994,0.1030,20,2
1ER03706,16,F,2011,0.1548,0.1915,23,2
1ER03607,17,F,2011,0.0108,-0.0214,8,2
1ET42001,18,M,2012,0.4072,-0.0998,17,2
1ET42601,19,F,2012,0.1770,-0.1475,22,2
1ET98251,20,F,2014,0.3375,0.0499,20,2
1ET98277,20,M,2014,0.1484,-0.0331,17,2
1ET50645,22,M,2013,0.0777,0.0092,22,2
1ER02567,23,M,2012,-0.0183,0.2050,39,4
1ET42510,24,M,2012,0.2674,0.0392,36,4
1ET50063,25,M,2013,0.0026,0.1722,31,3
1ET42889,26,F,2012,0.2410,0.0840,22,3
1EP48319,27,M,2009,0.3228,0.0648,27,6
1ET42512,28,M,2012,0.3595,-0.0790,29,3
1EP46435,29,F,2010,0.0317,-0.1219,29,4
1ET42984,30,M,2012,-0.0014,-0.0982,17,2
1ET42993,31,F,2012,0.1156,-0.1266,21,2
1ET50838,31,M,2012,0.1095,0.0529,21,2
1ET42295,33,F,2012,0.0126,-0.0442,12,2
1ER03350,34,F,2012,0.1616,0.0702,5,2
1ET50841,35,F,2013,0.0059,-0.0568,19,2
1ET50845,24,F,2013,0.3732,0.0774,21,2
1ET42995,29,M,2012,0.1784,0.1207,17,2
1ER03269,38,M,2012,0.0243,0.0807,20,2
1ET50863,39,F,2013,0.0361,-0.2968,12,2
1EX15411,40,M,2014,0.2697,-0.2197,14,2
1ET50625,41,F,2014,0.2255,-0.0647,12,2
1ET50635,42,F,2014,0.1068,0.0627,17,2
1ET50854,43,F,2013,0.1706,-0.1803,21,2
1ET50631,44,F,2014,-0.0236,-0.1887,0,2
1ET98197,45,M,2013,-0.0568,0.0420,24,2
1ET97070,46,F,2014,0.2389,-0.0741,20,2
1EX15438,47,M,2014,0.1720,-0.0280,15,2
1EX15064,48,M,2014,-0.1477,-0.1544,9,2